"","X","Pais","Nnobel","PIB2015","pisa","continent","pisamujeres","pisahombres","Nnobelmujeres","Nnobelhombres"
"2",2,"United_Kingdom",132,278.3,1499.6719,"Europe",1504.50590783672,1494.98699480855,3,129
"3",3,"Germany",107,399.2,1524.216,"Europe",1521.01730737875,1527.30346817154,2,105
"4",4,"France",62,275,1487.2041,"Europe",1497.75227069048,1476.49625372101,2,60
"5",5,"Sweden",30,49.04,1487.4961,"Europe",1510.72068376536,1464.69021422269,3,27
"6",6,"Japan",26,527,1586.7932,"Asia",1579.68417403912,1593.78277044109,0,26
"7",7,"Switzerland",26,50.45,1540.9546,"Europe",1542.66225514298,1515.54422249074,0,26
"8",8,"Canada",23,168.7,1570.0199,"America",1578.06029583744,1561.9563488765,2,21
"9",9,"Austria",21,41.8,1476.6454,"Europe",1463.73497148931,1489.31544482537,2,19
"10",10,"Italy",20,225,1455.0335,"Europe",1444.65183895812,1465.54971482618,2,18
"11",11,"Netherlands",20,86.88,1523.7867,"Europe",1532.2374875913,1515.27972647643,0,20
"12",12,"Denmark",14,27.54,1512.8391,"Europe",1516.2290703605,1509.48082444976,0,14
"13",13,"Norway",13,36.69,1513.4021,"Europe",1533.23103471282,1494.07504802496,2,11
"14",14,"Australia",12,117.9,1506.7907,"Oceania",1518.77294741523,1494.99612758603,1,11
"15",15,"Israel",12,294.55,1415.1829,"Asia",1420.12947847973,1410.03600931912,1,11
"16",16,"Poland",12,104.2,1511.6017,"Europe",1517.62453284576,1505.7899479278,1,11
"17",17,"Belgium",10,51.18,1507.5083,"Europe",1502.4094886396,1512.44720494436,0,10
"18",18,"Hungary",9,26.95,1423.1017,"Europe",1429.94746706651,1416.28378565094,1,8
"19",19,"Spain",8,166.2,1474.2057,"Europe",1473.00002648922,1475.41477280558,0,8
"20",20,"Ireland",7,31.51,1527.1119,"Europe",1519.56801221749,1534.2736665256,0,7
"21",21,"Argentina",5,91,1266.5626,"America",1258.39554699671,1275.45699777326,0,5
"22",22,"Czech_Republic",5,35.09,1472.4055,"Europe",1477.71654598573,1467.37203446822,0,5
"23",23,"Finland",4,23.15,1568.1628,"Europe",1605.987984452,1532.90710026601,0,4
"24",24,"Mexico",3,235,1247.0099,"America",1247.12066329709,1246.9020710388,0,3
"25",25,"New_Zealand",3,17.33,1517.7975,"Oceania",1527.1667868433,1508.54592744354,0,3
"26",26,"Chile",2,43.9,1328.1984,"America",1317.62802781677,1338.65894562474,1,1
"27",27,"Colombia",2,68.72,1230.2778,"America",1227.80186139466,1233.03785837169,0,2
"28",28,"Greece",2,29.43,1375.4982,"Europe",1399.45099495586,1353.41669792186,0,2
"29",29,"Luxembourg",2,5.965,1450.0161,"Europe",1451.18388668442,1448.83213527862,0,2
"30",30,"Portugal",2,29.96,1490.856,"Europe",1489.20672623638,1492.47442525897,0,2
"31",31,"Turkey",2,199.6,1274.2786,"Asia",1288.42786537577,1260.14504360133,0,2
"32",32,"Brazil",1,331.4,1185.1002,"America",1186.81098872997,1183.28688284268,0,1
"33",33,"Bulgaria",1,14.22,1318.6794,"Europe",1352.66277338874,1288.26534485079,0,1
"34",34,"Costa_Rica",1,7.868,1247.3489,"America",1238.02255334744,1256.97805927215,0,1
"35",35,"Croatia",1,9.45,1426.2945,"Europe",1430.1333297114,1422.15268151937,0,1
"36",36,"Cyprus",1,2.934,1312.585,"Europe",1349.14059532716,1275.68132212078,0,1
"37",37,"Iceland",1,1.567,1442.7888,"Europe",1464.95929031394,1419.2669276879,0,1
"38",38,"Latvia",1,5.05,1460.2882,"Europe",1487.66148688157,1432.99817925352,0,1
"39",39,"Peru",1,39.77,1180.7856,"America",1174.90280512955,1186.61244407786,0,1
"40",40,"Slovenia",1,6.559,1527.9991,"Europe",1551.27667089663,1506.21370134945,0,1
"41",41,"Trinidad_and_Tobago",1,4.669,1269.1072,"America",1313.0828307178,1224.0036770086,0,1
"42",42,"Vietnam",1,57.03,1505.9366,"Asia",1520.95845479542,1490.19234122276,0,1
